Title,Jahr,Author,Untertitel,Dokumententyp,"Übergeordneter Titel",Zeitschrift,Reihentitel,Herausgeber,Ort,Verlag,Auflage,ISBN,DOI,Band,Nummer,Seiten,"Internetdokument URL",Institution/Veranstalter,"Vortragsreihe / Veranstaltung",Datum,Vortragende/r,Vortragstyp,Panel
"Suggestion Lists vs. Continuous Generation: Interaction Design for Writing with Generative Models on Mobile Devices Affect Text Length, Wording and Perceived Authorship",2022,"Lehmann, Florian; Markert, Niklas; Dang, Hai; Buschek, Daniel",,Konferenzpapier,"Proceedings of the Mensch und Computer 2022",,,"Mühlhäuser, Reuter et al.",,,,,10.1145/3543758.3543947,,,192–208,,,,,,,
"Informational Gold Standard and Digital Tare Weight - Country Report on Data Disclosure in the European Union",2022,"Lewinski, Kai von",,Zeitschriftenaufsatz,,"SSRN Journal (SSRN Electronic Journal)",,,,,,,10.2139/ssrn.4068987,,,,,,,,,,
"Kommentierung von Art. 22, 22 und 87 DSGVO",2022,"Lewinski, Kai von",,"Beitrag in ...",Datenschutzrecht,,,"Wolff, Brink et al.",,,,,,,,,,,,,,,
"Legitimacy of Artificial Intelligence in Human Resources",2022,"Lewinski, Kai von; Barros Fritz, Raphael de",,"Beitrag in ...","Handbook of Research on Artificial",,,Strohmeier,,,,,,,,337–351,,,,,,,
Datenschutzrecht,2022,"Lewinski, Kai von; Rüpke, Giselher; Eckhardt, Jens",,"Buch (Monographie)",,,,,München,"Verlag C.H. Beck",2,978-3-406-74028-2,,,,,,,,,,,
"Augmenting perception: How artificial intelligence transforms sensory substitution",2022,"Longin, Louis; Deroy, Ophelia",,Zeitschriftenaufsatz,,"Consciousness and cognition",,,,,,,10.1016/j.concog.2022.103280,99,,103280,,,,,,,
"Business ethics and digitization",2022,,,"Buch (Sammelwerk)",,,"Wirtschaftsethik in der globalisierten Welt","Lütge, Christoph; Uhl, Matthias; Kriebitz, Alexander; Max, Raphael","Berlin; Heidelberg","J. B. Metzler",,978-3-662-64093-7,10.1007/978-3-662-64094-4,,,,,,,,,,
"Common Core in Danger?",2022,"Magin, Melanie; Geiß, Stefan; Stark, Birgit; Jürgens, Pascal","Personalized Information and the Fragmentation of the Public Agenda",Zeitschriftenaufsatz,,"The International Journal of Press/Politics",,,,,,,10.1177/19401612211026595,27,4,887–909,,,,,,,
"Demonstration of an Infrared Pen as an Input Device for Projected Augmented Reality Tabletops",2022,"Maierhöfer, Vitus; Schmid, Andreas; Wimmer, Raphael",,Konferenzpapier,"Proceedings of the Mensch und Computer 2022",,,"Mühlhäuser, Reuter et al.",,,,,10.1145/3543758.3547519,,,584–586,,,,,,,
"Solar PV sharing in urban energy communities: Impact of community configurations on profitability, autonomy and the electric grid",2022,"Mehta, Prakhar; Tiefenbeck, Verena",,Zeitschriftenaufsatz,,"Sustainable Cities and Society",,,,,,,10.1016/j.scs.2022.104178,87,,104178,,,,,,,
"Empowering Consumers to Make Environmentally Sustainable Online Shopping Decisions: A Digital Nudging Approach",2022,"Michels, Leonard; Ochmann, Jessica; Günther, Sebastian A.; Laumer, Sven; Tiefenbeck, Verena",,Konferenzpapier,"Proceedings of the HICSS 2022 2022",,,,,,,,,,,,,,,,,,
"The Acceptance of AI-based Recommendations: An Elaboration Likelihood Perspective",2022,"Michels, Leonard; Ochmann, Jessica; Tiefenbeck, Verena; Laumer, Sven",,Konferenzpapier,"Proceedings of the 17. Internationale Tagung Wirtschaftsinformatik 2022",,,,,,,,,,,,,,,,,,
"Driving or driven by others?",2022,"Mosch, Philipp; Winkler, Corinna; Eggert, Curd-Georg; Schumann, Jan H.; Obermaier, Robert; Ulaga, Wolfgang","A dynamic perspective on how data-driven start-ups strategize across different network roles in digitalized business networks",Zeitschriftenaufsatz,,"Industrial Marketing Management",,,,,,,10.1016/j.indmarman.2022.01.023,102,,381-402,,,,,,,
"Mensch und Technik in der angewandten Forschung",2022,"Müller, Nicholas H.; Schütz, Andreas; Fertig, Tobias",,"Beitrag in ...","Faktor Mensch",,,"Weber, Reinheimer",,,,,,,,1–18,,,,,,,
"Is a PET All You Need? A Multi-modal Study for Alzheimer’s Disease Using 3D CNNs",2022,"Narazani, Marla; Sarasua, Ignacio; Pölsterl, Sebastian; Lizarraga, Aldana; Yakushev, Igor; Wachinger, Christian",,"Beitrag in ...","Medical Image Computing and Computer",,,"Wang, Dou et al.",,,,,10.1007/978-3-031-16431-6_7,13431,,66–76,,,,,,,
"Ausbildungspersonal im Fokus. Studie zur Situation der betrieblichen Ausbilder*innen 2021",2022,"Nicklich, Manuel; Blank, Marco; Pfeiffer, Sabine",,"Graue Literatur / Bericht / Report",,,,,"Nürnberg, Frankfurt a. M.",,,,,,,,,,,,,,
"Pose2Room: Understanding 3D Scenes from Human Activities",2022,"Nie, Yinyu; Dai, Angela; Han, Xiaoguang; Nießner, Matthias",,Konferenzpapier,"Proceedings of the European Conference 2022",,,,,,,,,,,,,,,,,,
"The Human in the Infinite Loop: A Case Study on Revealing and Explaining Human-AI Interaction Loop Failures",2022,"Ou, Changkun; Buschek, Daniel; Mayer, Sven; Butz, Andreas",,Konferenzpapier,"Proceedings of the Mensch und Computer 2022",,,"Mühlhäuser, Reuter et al.",,,,,10.1145/3543758.3543761,,,158–168,,,,,,,
"SPAMs: Structured Implicit Parametric Models",2022,"Palafox, Pablo; Sarafianos, Nikolaos; Tung, Tony; Dai, Angela",,Konferenzpapier,"Proceedings of the Computer Vision and Pattern 2022",,,,,,,,,,,,,,,,,,
"Integration of prosumer peer-to-peer trading decisions into energy community modelling",2022,"Pena-Bello, Alejandro; Parra, David; Herberz, Mario; Tiefenbeck, Verena; Patel, Martin K.; Hahnel, Ulf J. J.",,Zeitschriftenaufsatz,,"Nat Energy (Nature Energy)",,,,,,,10.1038/s41560-021-00950-2,7,1,74–82,,,,,,,
"SenPoi at SemEval-2022 Task 10: Point me to your Opinion, SenPoi",2022,"Pfister, Jan; Wankerl, Sebastian; Hotho, Andreas",,Konferenzpapier,"Proceedings of the 16th International",,,"Emerson, Schluter et al.",,,,,10.18653/v1/2022.semeval-1.183,,,1313–1323,,,,,,,
"Identification of causal effects of neuroanatomy on cognitive decline requires modeling unobserved confounders",2022,"Pölsterl, Sebastian; Wachinger, Christian",,Zeitschriftenaufsatz,,"Alzheimer's & dementia : the journal of the Alzheimer's Association",,,,,,,10.1002/alz.12825,,,,,,,,,,
"Stage-Dependent Customer Engagement in Dual-Stage Data Disclosure Decisions: An Evaluation of Affective versus Cognitive Appeals",2022,"Postel, Lea; Widjaja, Thomas; Schumann, Jan H.",,Konferenzpapier,"Proceedings of the European Marketing 2022",,,,,,,,,,,,,,,,,,
"An optimized Bitsliced Masked Adder for ARM Thumb-2 Controllers",2022,"Pozzobon, Enrico; Renner, Sebastian; Mottok, Jurgen; Matousek, Vaclav",,Konferenzpapier,"Proceedings of the 2022 International Conference on Applied 2022",,,,,,,,10.1109/AE54730.2022.9919884,,,1–4,,,,,,,
"Encyclopedia of Cryptography, Security and Privacy",2022,,"Accountability for Cyber- Physical Systems","Buch (Sammelwerk)",,,,"Pretschner, Alexander, Kacianka, Severin",Heidelberg,"Springer, Berlin",,,10.1007/978-3-642-27739-9_1719-1,,,1–3,,,,,,,
"Alternative Methodology and Framework for Assessing Differential Privacy Constraints and Consequences From a GDPR Perspective",2022,"Prokhorenkov, Dmitry",,Konferenzpapier,"Proceedings of the IEEE 12th Annual Computing and Communication Workshop and Conference (CCWC)",,,,,,,,,,,359–364,,,,,,,
"Anonymization Level and Compliance for Differential Privacy: A Systematic Literature Review",2022,"Prokhorenkov, Dmitry",,Konferenzpapier,"Proceedings of the 2022 International Wireless Communications 2022",,,,,,,,10.1109/IWCMC55113.2022.9824899,,,1119-1124,,,,,,"Wissenschaftlicher Vortrag",
"Neue Herausforderungen durch digitale Transformation",2022,"Putfarken, Hannes","Digitale Kompetenzen von Beschäftigten",Zeitschriftenaufsatz,,,,,,,,,,,,,https://transforming-economies.de/neue-herausforderungen-durch-digitale-transformation-digitale-kompetenzen-von-beschaeftigten/,,,,,"Wissenschaftlicher Vortrag",
"Digitaler als gedacht? Die Altersgruppe 65+ im Internet",2022,"Putfarken, Hannes; Schlude, Antonia; Stumpf, Christian",,"Graue Literatur / Bericht / Report",,,"bidt blog",bidt,,,,,,,,,https://www.bidt.digital/digitaler-als-gedacht-die-altersgruppe-65-im-internet/,,,,,,
"PatchComplete: Learning Multi-Resolution Patch Priors for 3D Shape Completion on Unseen Categories",2022,"Rao, Yuchen; Nie, Yinyu; Dai, Angela",,Konferenzpapier,"Proceedings of the Advances in Neural Information Processing 2022",,,,,,,,,,,,,,,,,,
"Analysis of Celiac Disease with Multimodal Deep Learning",2022,"Rauber, David; Mendel, Robert; Scheppach, Markus W.; Ebigbo, Alanna; Messmann, Helmut; Palm, Christoph",,Konferenzpapier,"Proceedings of  Bildverarbeitung für die Medizin 2022",,,"Maier-Hein, Deserno et al.",,,,,10.1007/978-3-658-36932-3_25,,,115–120,,,,,,,
"“I don’t care, ’cause I don’t trust them!”",2022,"Reinemann, Carsten; Haas, Alexander; Rieger, Diana","The impact of information sources, institutional trust, and right-wing populist attitudes on the perception of the COVID-19 pandemic during the first lockdown in Germany",Zeitschriftenaufsatz,,"SCM (Studies in Communication and Media)",,,,,,,10.5771/2192-4007-2022-1-132,11,1,132–168,,,,,,"Wissenschaftlicher Vortrag",
"Evolving a Boolean Masked Adder Using Neuroevolution",2022,"Renner, Sebastian; Pozzobon, Enrico; Mottok, Jürgen",,"Beitrag in ...","Attacks and Defenses",,,"Li, Furnell et al.",,,,,10.1007/978-3-031-21311-3_2,13745,,21–40,,,,,,,
"The Final Round: Benchmarking NIST LWC Ciphers on Microcontrollers",2022,"Renner, Sebastian; Pozzobon, Enrico; Mottok, Jürgen",,"Beitrag in ...","Attacks and Defenses",,,"Li, Furnell et al.",,,,,10.1007/978-3-031-21311-3_1,13745,,1–20,,,,,,,
"Zwischen Klick-Maximierung und medienpolitischer Chance",2022,"Rhein, Valerie","Empfehlungssysteme im Internet","Graue Literatur / Bericht / Report",,,"Magazin der Bayerischen Landeszentrale für neue Medien",,,,,,,,,,https://www.blm.de/infothek/publikationen/magazin_tendenz/tendenz-1_2022/weiterer_artikel.cfm,,,,,"Wissenschaftlicher Vortrag",
"Schriftliche Stellungnahme zu dem Diskussionsentwurf zu Auftrag und Strukturoptimierung des öffentlich-rechtlichen Rundfunks",13.01.2022,"Rhein, Valerie; Dreyer, Stephan; Schulz, Wolfgang",,"Graue Literatur / Bericht / Report",,,,,Hamburg,,,,,,,,,,,,,,
"Joint Reconstruction and Parcellation of Cortical Surfaces",2022,"Rickmann, Anne-Marie; Bongratz, Fabian; Pölsterl, Sebastian; Sarasua, Ignacio; Wachinger, Christian",,Konferenzpapier,"Proceedings of the International Workshop on Machine Learning 2022",,,,,,,,,,,3–12,,,,,,,
"AbdomenNet: deep neural network for abdominal organ segmentation in epidemiologic imaging studies",2022,"Rickmann, Anne-Marie; Senapati, Jyotirmay; Kovalenko, Oksana; Peters, Annette; Bamberg, Fabian; Wachinger, Christian",,Zeitschriftenaufsatz,,"BMC medical imaging",,,,,,,10.1186/s12880-022-00893-4,22,1,168,,,,,,,
"Lipid network and moiety analysis for revealing enzymatic dysregulation and mechanistic alterations from lipidomics data",2022,"Rose, Tim D.; Köhler, Nikolai; Falk, Lisa; Klischat, Lucie; Lazareva, Olga E.; Pauling, Josch K.",,"Buch (Monographie)",,,,,,,,,10.1101/2022.02.04.479101,,,,,,,,,,
"MoSBi: Automated signature mining for molecular stratification and subtyping",2022,"Rose, Tim Daniel; Bechtler, Thibault; Ciora, Octavia-Andreea; Anh Lilian Le, Kim; Molnar, Florian; Köhler, Nikolai; Baumbach, Jan; Röttger, Richard; Pauling, Josch Konstantin",,Konferenzpapier,"Proceedings of the National Academy of Sciences of the United States of America",,,,,,,,10.1073/pnas.2118210119,119,16,e2118210119,,,,,,,
"Language-Grounded Indoor 3D Semantic Segmentation in the Wild",2022,"Rozenberszki, David; Litany, Or; Dai, Angela",,Konferenzpapier,"Proceedings of the European Conference 2022",,,,,,,,,,,,,,,,,,
"Digital Citadel - Country Report on Russia",2022,"Saponchik, Elisabeth",,"Graue Literatur / Bericht / Report",,,"IRDG Research Paper Series",,,,,,,,22-13,,,,,,,,
"CASHformer: Cognition Aware SHape Transformer for Longitudinal Analysis",2022,"Sarasua, Ignacio; Pölsterl, Sebastian; Wachinger, Christian",,Konferenzpapier,"Proceedings of the Medical Image Computing and Computer 2022",,,,,,,,,,,44–54,,,,,,,
"Hippocampal representations for deep learning on Alzheimer's disease",2022,"Sarasua, Ignacio; Pölsterl, Sebastian; Wachinger, Christian",,Zeitschriftenaufsatz,,"Scientific reports",,,,,,,10.1038/s41598-022-12533-6,12,1,8619,,,,,,,
"Competition between Human and Artificial Intelligence in Digital Markets: An Experimental Analysis",2022,"Schauer, Andreas; Schnurr, Daniel",,Zeitschriftenaufsatz,,"SSRN Journal (SSRN Electronic Journal)",,,,,,,10.2139/ssrn.4139527,,,,,,,,,,
"""Chilling effects"" durch YouTubes Content ID?",2022,"Schillmöller, Jan; Doseva, Steliyana",,Zeitschriftenaufsatz,,"Multimedia und Recht",,,,,,,,,3,181–187,,,,,,"Wissenschaftlicher Vortrag",
"Extracting Handwritten Annotations from Printed Documents Via Infrared Scanning",2022,"Schmid, Andreas; Heckelbacher, Lorenz; Wimmer, Raphael",,Konferenzpapier,"Proceedings of the 2022 – CHI Conference on Human Factors",,,"Barbosa, Lampe et al.",,,,,10.1145/3491101.3519872,,,1–6,,,,,,,
"Determining the Orientation of Low Resolution Images of a De-Bruijn Tracking Pattern with a CNN",2022,"Schmid, Andreas; Wimmer, Raphael; Lippl, Stefan",,Konferenzpapier,"Proceedings of the ACM SIGGRAPH 2022 Posters",,,"Nandigjav, Diamante",,,,,10.1145/3532719.3543259,,,1–2,,,,,,,
"UnlockLearning – Investigating the Integration of Vocabulary Learning Tasks into the Smartphone Authentication Process",2022,"Schneegass, Christina; Sigethy, Sophia; Mitrevska, Teodora; Eiband, Malin; Buschek, Daniel",,Zeitschriftenaufsatz,,i-com,,,,,,,10.1515/icom-2021-0037,21,1,157–174,,,,,,,
"Texturify: Generating Textures on 3D Shape Surfaces",2022,"Siddiqui, Yawar; Thies, Justus; Ma, Fangchang; Shan, Qi; Nießner, Matthias; Dai, Angela",,Konferenzpapier,"Proceedings of the European Conference 2022",,,,,,,,,,,,,,,,,,
"Transparency in the Privacy Context: A Structured Literature Review",2022,"Sleziona, Philipp; Widjaja, Thomas",,"Beitrag in ...","ECIS 2022 Research Papers 2022",,,,,,,,,,,124,,,,,,,
"Multidimensional Digital Competence Self-Assessment: Results from the bidt-SZ-Digitalbarometer",2022,"Stürz, Roland A.; Gehlen, Dirk von",,"Beitrag in ...","Digital Competence and Future Skills",,,"Ramin, Philipp",,,,,,,,25-42,,,,,,,
"Digitalisierung durch Corona?",2022,"Stürz, Roland A.; Schlude, Antonia; Putfarken, Hannes","Homeoffice im März &amp; Juni 2022","Graue Literatur / Bericht / Report",,,"bidt Analysen und Studien",bidt,,,,,,,,,https://www.bidt.digital/publikation/digitalisierung-durch-corona-homeoffice-im-maerz-juni-2022/,,,,,,
"Digitale Kompetenzen bei Berufstätigen in Deutschland",2022,"Stürz, Roland A.; Stumpf, Christian",,Zeitschriftenaufsatz,,"Ideen- und Innovationsmanagement",,,,,,,,,2,64–67,,,,,,,
"Berufstätigkeit und Digitalkompetenzen",2022,"Stürz, Roland A.; Stumpf, Christian; Schlude, Antonia; Putfarken, Hannes",,"Graue Literatur / Bericht / Report",,,"bidt Magazin",bidt,,,,,,,2,,,,,,,,
"Das bidt-SZ-Digitalbarometer",2022,"Stürz, Roland A.; Stumpf, Christian; Schlude, Antonia; Putfarken, Hannes",,"Buch (Monographie)",,"bidt Analysen und Studien",,,,,,,10.35067/xypq-kn66,,7,12–19,https://www.bidt.digital/publikation/bidt-sz-digitalbarometer/,,,,,,
"Wie digital ist Deutschland?",2022,"Stürz, Roland A.; Stumpf, Christian; Schlude, Antonia; Putfarken, Hannes","Ergebnisse des neuen bidt-SZ-Digitalbarometers",Zeitschriftenaufsatz,,"Akademie Aktuell",,,,,,,,,2,24–25,,,,,,,
"How to Enrich the Map?  A Case Study of Mapping German Public Service Media Libraries",2022,"Tatari, Maryam",,Konferenzpapier,"Proceedings of the EASST 2022 Politics of technoscientific futures",,,,,,,,,,,,,,,,,,
"Three Dynamics of Fairness in German PSM Online Media Libraries",2022,"Tatari, Maryam",,"Graue Literatur / Bericht / Report",,,,,,,,,,,,,,,,,,,
"Big Data and the Threat to Moral Responsibility in Healthcare",2022,"Tigard, Daniel W.",,"Beitrag in ...","Datenreiche Medizin und das Problem",,,"Richter, Loh et al.",,,,,,,,,,,,,,,
"Embedded Ethics as Preparatory Regulation of Technology: A New Solution to the Collingridge Dilemma?",2022,"Tigard, Daniel W.",,"Beitrag in ...","Novel Beings",,,"Lawrence, Morley",,,,,,,,,,,,,,,
"Order Ethics: A Contemporary Ethics for the Digital Society",2022,"Uhl, Matthias",,"Beitrag in ...","Evolving Business Ethics",,,"Lütge, Thejls Ziegler",,,,,10.1007/978-3-476-05845-4_7,,,93–98,,,,,,,
"Investigating Differences in Behavior and Brain in Human-Human and Human-Autonomous Vehicle Interactions in Time-Critical Situations.",2022,"Unni, Anirudh, Trende, Alexander, Pauley, Claire, Weber, Lars, Biebl, Bianca, Kacianka, Severin, Lüdtke, Andreas, Bengler, Klaus, Pretschner, Alexander, Fränzle, Martin , Rieger, Jochem W.",,Zeitschriftenaufsatz,,"Front. Big Data",,,,,,,10.3389/fnrgo.2022.836518,,3,,,,,,,,
"The Cultural Context of Personal Data Disclosure Decisions",2022,"Wawra, Daniela",,Zeitschriftenaufsatz,,"SSRN Journal (SSRN Electronic Journal)",,,,,,,10.2139/ssrn.4048250,,,,,,,,,,
"Cultural Influences on Personal Data Disclosure Decisions – Chinese Perspectives",2022,"Wawra, Daniela; Kindsmüller, Katharina; Tawfiq, Memoona; Vollenschier, Vanessa; Walbert, Franziska; Woldrich, Lisa",,Zeitschriftenaufsatz,,"SSRN Journal (SSRN Electronic Journal)",,,,,,,10.2139/ssrn.4079624,,,,,,,,,,
"Cultural Influences on Personal Data Disclosure Decisions – Japanese Perspectives",2022,"Wawra, Daniela; Kindsmüller, Katharina; Tawfiq, Memoona; Vollenschier, Vanessa; Walbert, Franziska; Woldrich, Lisa",,Zeitschriftenaufsatz,,"SSRN Journal (SSRN Electronic Journal)",,,,,,,10.2139/ssrn.4079634,,,,,,,,,,
"Cultural Influences on Personal Data Disclosure Decisions – Russian Perspectives",2022,"Wawra, Daniela; Kindsmüller, Katharina; Tawfiq, Memoona; Vollenschier, Vanessa; Walbert, Franziska; Woldrich, Lisa",,Zeitschriftenaufsatz,,"SSRN Journal (SSRN Electronic Journal)",,,,,,,10.2139/ssrn.4079628,,,,,,,,,,
"Cultural Influences on Personal Data Disclosure Decisions – Brazilian Perspectives",2022,"Wawra, Daniela; Kindsmüller, Katharina; Vollenschier, Vanessa; Walbert, Franziska; Woldrich, Lisa",,Zeitschriftenaufsatz,,"SSRN Journal (SSRN Electronic Journal)",,,,,,,10.2139/ssrn.4079617,,,,,,,,,,
"AI Literacy: Kompetenzdimensionen und Einflussfaktoren im Kontext von Arbeit",2022,"Wienrich, Carolin; Carolus, Astrid; Augustin, Yannik; Markus, André",,"Graue Literatur / Bericht / Report",,,"KI-Observatorium des Bundesministeriums für Arbeit und Soziales",,,,,,,,,,,,,,,,
"Designing for Continuous Interaction with Artificial Intelligence Systems",2022,"Wintersberger, Philipp; van Berkel, Niels; Fereydooni, Nadia; Tag, Benjamin; Glassman, Elena L.; Buschek, Daniel; Blandford, Ann; Michahelles, Florian",,Konferenzpapier,"Proceedings of the CHI Conference on Human Factors",,,"Barbosa, Lampe et al.",,,,,10.1145/3491101.3516409,,,1–4,,,,,,,
"DAFT: A universal module to interweave tabular data and 3D images in CNNs",2022,"Wolf, Tom Nuno; Pölsterl, Sebastian; Wachinger, Christian",,Zeitschriftenaufsatz,,NeuroImage,,,,,,,10.1016/j.neuroimage.2022.119505,260,,119505,,,,,,,
"Federated machine learning for a facilitated implementation of Artificial Intelligence in healthcare - a proof of concept study for the prediction of coronary artery calcification scores",2022,"Wolff, Justus; Matschinske, Julian; Baumgart, Dietrich; Pytlik, Anne; Keck, Andreas; Natarajan, Arunakiry; Schacky, Claudio E. von; Pauling, Josch K.; Baumbach, Jan",,Zeitschriftenaufsatz,,"Journal of integrative bioinformatics",,,,,,,10.1515/jib-2022-0032,19,4,,,,,,,,
"Bidding on a Peer-to-Peer Energy Market: An Exploratory Field Study",2022,"Wörner, Anselma; Tiefenbeck, Verena; Wortmann, Felix; Meeuw, Arne; Ableitner, Liliane; Fleisch, Elgar; Azevedo, Inês",,Zeitschriftenaufsatz,,"Information Systems Research",,,,,,,10.1287/isre.2021.1098,33,3,794–808,,,,,,,
"(Why) Do digital startups move to rural regions?",2022,"Wuth, Jane",,Zeitschriftenaufsatz,,"Region Sci Policy Practice (Regional Science Policy & Practice)",,,,,,,10.1111/rsp3.12589,,,,,,,,,,
"Investigating Control Perceptions in AI-based Data Disclosure Processes",2022,"Zimmermann, Johanna; Schumann, Jan H.; Widjaja, Thomas; Martin, Kelly D.",,Konferenzpapier,"Proceedings of the European Marketing 2022",,,,,,,,,,,,,,,,,,
"Empowered and embedded: ethics and agile processes",2022,"Zuber, Niina; Gogoll, Jan; Kacianka, Severin; Pretschner, Alexander; Nida-Rümelin, Julian",,Zeitschriftenaufsatz,,"Humanit Soc Sci Commun (Humanities and Social Sciences Communications)",,,,,,,10.1057/s41599-022-01206-4,9,1,,,,,,,,
"Pandemic Displays: Considering Hygiene on Public Touchscreens in the Post-Pandemic Era",2022,"Mäkelä, Ville; Winter, Jonas; Schwab, Jasmin; Koch, Michael; Alt, Florian",,Konferenzpapier,"Proceedings of the CHI Conference on Human Factors in Computing Systems",,,,,"ACM Press ",,978-1-4503-9157-3,10.1145/3491102.3501937,,,1-12,,,,,,,
"Cultural Design Compass: Who Do You Design For?",2022,"Stojko, Laura",,Konferenzpapier,"Proceedings of the 20th European Conference on Computer-Supported Cooperative Work",,,"European Society for Socially Embedded Technologies (EUSSET)",,,,,10.48340/ecscw2022_p09,6,2,,,,,,,,
"Dis/Enabling Accountability",2022,"Kahlert, Peter; Kahlert, Suzette; Tatari, Maryam","A Study of Issues, Lacks, and Potentials of Policy Compliance for Public Service Media on YouTube",Konferenzpapier,"Proceedings of RIPE@2022: Between the Fourth Estate and the Fifth Power",,,,"Wien, Österreich","Österreicher Rundfunk, ORF",,,,,,34-37,,,,,,,
"An Interdisciplinary Perspective on Technical and Legal Hurdles in GDPR Compliance of Software Systems",2022,"Kosenkov, Oleksandr; Dreyer, Stephan; Klymenko, Oleksandra; Prokhorenkov, Dmitry; Mendez, Daniel; Rhein, Valerie",,Internetdokument,,,"bidt Blog",bidt,,,,,,,,,https://www.bidt.digital/an-interdisciplinary-perspective-on-technical-and-legal-hurdles-in-gdpr-compliance-of-software-systems/,,,,,,
"Digital Public Value",2022,"Dobusch, Leonhard ; Passoth, Jan-Hendrik","Mehr digitale Offenheit wagen",Zeitungsartikel,,Tagesspiegel,,,,,,,,,,,,,,,,,
"Trust Science!",2022,"Kern, Thomas; Opitz, Dahla","Institutional Conditions of Movement Resonance in the United States and Germany: The Case of Fridays for Future",Zeitschriftenaufsatz,,"International Journal of Sociology",,,,,,,10.1080/00207659.2021.1910431,51,3,249-256,,,,,,,
"Zombies in the loop? Humans trust untrustworthy AI-advisors for ethical decisions",2022,"Krügel, Sebastian; Ostermaier, Andreas; Uhl, Matthias",,Zeitschriftenaufsatz,,"Philosophy &amp; Technology",,,Cham,,,,https://doi.org/10.1007/s13347-022-00511-9,35,17,,,,,,,,
"Meinungsvielfalt, Meinungsmacht, Meinungsbildung",2022,"Stegmann, Daniel; Zieringer, Lisa; Stark, Birgit; Reinemann, Carsten","Zum (ungeklärten) Verhältnis zentraler Begriffe der deutschen Medienkonzentrationskontrolle",Zeitschriftenaufsatz,,"UFITA - Archiv für Medienrecht und Medienwissenschaft",,,,,,,https://doi.org/10.5771/2568-9185-2022-1-38,86,1,38-70,,,,,,,
"Rechtsrahmen und Indikatoren medialer Konzentrations- und Meinungsmachtkontrolle",2022,"Just, Natascha Katharina; Birrer, Alena; He, Danya",Endbericht,"Graue Literatur / Bericht / Report","Gutachten im Rahmen des vom Bayerischen Forschungsinstitut für Digitale Transformation (bidt) geförderten Projekts «Messung von Meinungsmacht und Vielfalt im Internet: Pilotprojekt zur publizistischen Konzentrationskontrolle»",,,"Universität Zürich",Zürich,,,,,,,,,,,,,,
"Effekte von Datenportabilität auf die Nutzungs- und Zahlungsbereitschaft für Onlineservices.",2022,"Luzsa, Robert; Mayr, Susanne","Eine Conjoint-Analyse am Beispiel E-Mail-Dienste","Graue Literatur / Bericht / Report",https://www.bidt.digital/wp-content/uploads/sites/2/2022/11/bidt-WP-06-Datenportabilitaet.pdf,,"bidt Working Paper",bidt,,,,,https://doi.org/10.35067/bv16-2z32,,6,44950,,,,,,,
"Datenportabilität zwischen Online-Diensten: Nutzeranforderungen und Gestaltungsempfehlungen",2022,"Luzsa, Robert; Mayr, Susanne; Syrmoudis, Emmanuel; Grossklags, Jens; Kübler-Wachendorff, Sophie; Kranz, Johann","Ergebnisse einer bevölkerungsrepräsentativen Befragung","Graue Literatur / Bericht / Report",https://www.bidt.digital/publikation/datenportabilitaet-zwischen-online-diensten/,,"bidt Working Paper",bidt,,,,,https://doi.org/10.35067/bv16-2z31,,5,1-38,,,,,,,
"Online Service Switching Intentions and Attitudes towards Data Portability – The Role of Technology-related Attitudes and Privacy.",2022,"Luzsa, Robert; Mayr, Susanne; Syrmoudis, Emmanuel; Grossklags, Jens; Kübler-Wachendorff, Sophie; Kranz, Johann",,Konferenzpapier,"Proceedings of Mensch und Computer 2022",,,"ACM Digital Library",,,,,https://doi.org/10.1145/3543758.3543762,,,1-13,,,,,,,
"Links Between Online Privacy Fatigue, Technology Attitudes and Sociodemographic Factors in a German Population Sample",2022,"Luzsa, Robert; Mayr, Susanne",,Konferenzpapier,"Proceedings of Mensch und Computer 2022",,,"ACM Digital Library",,,,,https://doi.org/10.1145/3543758.3547540,,,350-354,,,,,,,
"Leave No Data Behind – Empirical Insights into Data Erasure from Online Services",2022,"Rupp, Eduard; Syrmoudis, Emmanuel; Grossklags, Jens",,Konferenzpapier,"PoPETs (Proceedings on Privacy Enhancing Technologies)",,,,,,,,https://doi.org/10.56553/popets-2022-0080,2022,3,437-455,,,,,,,
"A Multi-Region Investigation of the Perceptions and Use of Smart Home Devices",2022,"Bombik, Patrick; Wenzel, Tom; Grossklags, Jens; Patil, Sameer",,Konferenzpapier,"Proceedings on Privacy Enhancing Technologies",,,,,,,,https://doi.org/10.56553/popets-2022-0060,2022,3,6-32,,,,,,,
"“Imagine this smart speaker to have a body”: An analysis of the external appearances and the characteristics that people associate with voice assistants",2022,"Carolus, Astrid; Wienrich, Carolin",,Zeitschriftenaufsatz,,"Frontiers in Computer Science",,Frontiers,,,,,https://doi.org/10.3389/fcomp.2022.981435,4,,981435,,,,,,,
"Giving Alexa a Face - Implementing a New Research Prototype and Examining the Influences of Different Human-Like Visualizations on the Perception of Voice Assistants",2022,"Wienrich, Carolin; Ebner, Felix; Carolus, Astrid",,Konferenzpapier,"Proceedings on International Conference on Human-Computer Interaction",,,Springer,Götheborg,,,,https://doi.org/10.1007/978-3-031-05412-9_41,,,605-625,,,,,,,
